Test name, RMSE_train, RMSE_val, RMSE_Public, Comments
0.0.RawData,1.178113526,1.111692086,1.19002,
0.1.EDA,1.173687959,1.045152787,1.18911,
2.0_1EDA_FE_DLarionov_no last month removal_no feature removal,0.874830728,0.824129363,0.91132,
2.1_1EDA_FE_DLarionov_no feature removal,0.799783375,0.812345929,0.90525,
2.2_1EDA_FE_DLarionov,0.79990531,0.811570354,0.9036,
,,,,
2.2_1EDA_FE_Dlarionov_no downcasting to float 16,0.793690787,0.811547253,0.91,
2.2_1EDA_FE_Dlarionov_some downcasting to float 16,0.800364783,0.811488926,0.90897,
,,,,
2.2_1EDA_FE_DLarionov,0.80138115,0.811586187,0.91398,
,,,,
2.2_1EDA_FE_DLarionov_mean_enc_features,0.898115554,0.836083509,0.94132,
,,,,
2.2_1EDA_FE_DLarionov_mean_enc_features_no_mean,0.898115554,0.836083509,0.94132,
,,,,
2.2_1EDA_FE_DLarionov_no_target_mean_no_mean,0.80138115,0.811586187,0.91398,
,,,,
2.2_1EDA_FE_DLarionov,0.784505449,0.811394069,0.898,
,,,,
2.2_1EDA_FE_DLarionov_expmean,0.792536526,0.814643328,0.90479,
,,,,
2.2_1EDA_FE_DLarionov_items_shops_cats,0.78476924,0.791628115,0.8953,
,,,,
2.2_1EDA_FE_DLarionov_mean_enc,0.771100965,0.802171876,0.89391,
,,,,
2.2_1EDA_FE_DLarionov_date_features,0.750779348,0.787486893,0.90411,
,,,,
1.0_Raw,1.178113526,1.111692086,,
1.1_EDA,1.173687959,1.045152787,,
2.1_1EDA_FE_DLarionov_date_features,0.796052017,0.799852144,0.91464,
,,,,
1.0_Raw,1.178113526,1.111692086,,
1.0_Raw,1.178113526,1.111692086,,
1.1_EDA,1.173687959,1.045152787,,
2.6_FE_Final,0.779161509,0.798290408,0.90615,
,,,,
2.6_FE_Final_downcasted,0.779161509,0.798290408,0.90615,
,,,,
2.6_FE_Final_load as Larionov,0.773235057,0.803264843,0.90992,
,,,,
2.6_FE_Final_load 1EDA downcast,0.790259302,0.799560398,0.91614,
,,,,
2.6_FE_Final_added time features,0.784317257,0.794997182,0.91107,
,,,,
2.6_FE_Final_different seed,0.786908464,0.803904857,0.90366,
,,,,
2.6_FE_All_time_features,0.77503382,0.781515383,0.90147,
,,,,
2.6_FE_Bagging_FeatureFraction,0.761678078,0.776751794,0.89975,
,,,,
2.6_FE_HPO params_early_stopping 100,0.757429438,0.767529918,0.89644,
,,,,
2.6_FE_HPO params_early_stopping 10,0.784443562,0.774321885,0.89782,
2.6_FE_HPO params_early_stopping 100,0.7574294379020371,0.7675299181995773
2.6_FE_HPO params_early_stopping 100,0.7575128919098361,0.767735154153076
