Test name, RMSE_train, RMSE_val, RMSE_Public, Comments,
0.0.RawData,1.178113526,1.111692086,1.19002,,
0.1.EDA,1.173687959,1.045152787,1.18911,,
2.0_1EDA_FE_DLarionov_no last month removal_no feature removal,0.874830728,0.824129363,0.91132,,
2.1_1EDA_FE_DLarionov_no feature removal,0.799783375,0.812345929,0.90525,,
2.2_1EDA_FE_DLarionov,0.79990531,0.811570354,0.9036,,
,,,,,
2.2_1EDA_FE_Dlarionov_no downcasting to float 16,0.793690787,0.811547253,0.91,,
2.2_1EDA_FE_Dlarionov_some downcasting to float 16,0.800364783,0.811488926,0.90897,,
,,,,,
2.2_1EDA_FE_DLarionov,0.80138115,0.811586187,0.91398,,
,,,,,
2.2_1EDA_FE_DLarionov_mean_enc_features,0.898115554,0.836083509,0.94132,,
,,,,,
2.2_1EDA_FE_DLarionov_mean_enc_features_no_mean,0.898115554,0.836083509,0.94132,,
,,,,,
2.2_1EDA_FE_DLarionov_no_target_mean_no_mean,0.80138115,0.811586187,0.91398,,
,,,,,
2.2_1EDA_FE_DLarionov,0.784505449,0.811394069,0.898,,
,,,,,
2.2_1EDA_FE_DLarionov_expmean,0.792536526,0.814643328,0.90479,,
,,,,,
2.2_1EDA_FE_DLarionov_items_shops_cats,0.78476924,0.791628115,0.8953,,
,,,,,
2.2_1EDA_FE_DLarionov_mean_enc,0.771100965,0.802171876,0.89391,,
,,,,,
2.2_1EDA_FE_DLarionov_date_features,0.750779348,0.787486893,0.90411,,
,,,,,
1.0_Raw,1.178113526,1.111692086,,,
1.1_EDA,1.173687959,1.045152787,,,
2.1_1EDA_FE_DLarionov_date_features,0.796052017,0.799852144,0.91464,,
,,,,,
1.0_Raw,1.178113526,1.111692086,,,
1.0_Raw,1.178113526,1.111692086,,,
1.1_EDA,1.173687959,1.045152787,,,
2.6_FE_Final,0.779161509,0.798290408,0.90615,,
,,,,,
2.6_FE_Final_downcasted,0.779161509,0.798290408,0.90615,,
,,,,,
2.6_FE_Final_load as Larionov,0.773235057,0.803264843,0.90992,,
,,,,,
2.6_FE_Final_load 1EDA downcast,0.790259302,0.799560398,0.91614,,
,,,,,
2.6_FE_Final_added time features,0.784317257,0.794997182,0.91107,,
,,,,,
2.6_FE_Final_different seed,0.786908464,0.803904857,0.90366,,
,,,,,
2.6_FE_All_time_features,0.77503382,0.781515383,0.90147,,
,,,,,
2.6_FE_Bagging_FeatureFraction,0.761678078,0.776751794,0.89975,,
,,,,,
2.6_FE_HPO params_early_stopping 100,0.757429438,0.767529918,0.89644,,
,,,,,
2.6_FE_HPO params_early_stopping 10,0.784443562,0.774321885,0.89782,,
2.6_FE_HPO params_early_stopping 100,0.757429438,0.767529918,,,
2.6_FE_HPO params_early_stopping 100,0.757512892,0.767735154,,,
2.6_FE_HPO params_price features,0.518792546,0.56754713,1.19521,,
,,,,,
2.6_FE_downcastX,0.758427493,0.776458069,,,
2.6_FE_detla_price_shop added,0.751975371,0.773224218,0.89863,,
,,,,,
2.6_lag_aggregates_added,0.723524375,0.762467625,0.9038,,
,,,,,
2.6_lag_aggregates_added,0.686694909,0.731632545,0.91304,,
2.6_new_item_added,0.765444891,0.779992029,0.89872,,
,,,,,
2.6_last_sale_added,0.751993146,0.778817834,,,
2.6_last_sale_added,0.761971789,0.78712946,0.90416,,
,,,,,
2.6_no_last_sale,0.754518397,0.776626677,0.90145,,
,,,,,
2.6_new tfidf and last sales_early stopping 10,0.789654295,0.785284845,0.89577,,
,,,,,
2.6_more tfidf_early stopping 10,0.786937385,0.784039184,0.89758,,
,,,,,
2.6_tfidf_for_cats_added,0.791810707,0.788520331,0.8972,,
,,,,,
2.6_last lag 6,0.804272495,0.787709033,0.89226,,
,,,,,
2.6_last lag 6_early 100,0.768922456,0.780928223,0.88833,,
,,,,,
2.6_all_features,0.768922456,0.780928223,,,
2.6_all_features,0.778798371,0.783418818,0.89245,,
,,,,,
2.6_new first_last_average_features,0.613134409,0.57216968,1.03032,,
,,,,,
2.6_lambda_l2_1,0.765105462,0.779322095,0.88746,,
,,,,,
2.6_lambda_l2_10,0.751795673,0.77762028,0.8854,,
,,,,,
2.6_lambda_l2_100,0.768312866,0.785767421,0.89526,,
,,,,,
2.6_lambda_l2_10_no_weekdays,0.775130857,0.776376346,0.89186,,
,,,,,
2.6_lambda_l2_10,0.782725199,0.788939188,,,
2.6_lambda_l2_10,0.753706819,0.773131696,0.89087,,
,,,,,
2.6_lambda_l2_10,0.777869995,0.782632941,,,
2.6_lambda_l2_10_early1000,0.734123271,0.777746963,0.88776,,
,,,,,
2.6_freq_features,0.489024944,0.602137014,1.06897,,
,,,,,
2.6_lambda_l2_10,0.77090796,0.771837778,0.89925,,
,,,,,
separate_features,0.782471699,0.778127942,0.90393,,
,,,,,
Larionov_First_Last_Sale,0.7690607,0.767811232,,,
First_Sale,0.776636127,0.768653041,0.88927,,
,,,,,
drop_days,0.771504676,0.766134405,0.8861,,
,,,,,
"early stopping 200, first sales, no drop days",0.729633978,0.759625895,0.88397,,
,,,,,
early stopping 200_no drop,0.72872403,0.759491485,0.88433,,
,,,,,
boost1000,0.793790542,0.772238985,0.89188,,
price aggregates lags,0.792054219,0.77379368,0.88896,,
,,,,,
price aggregates lags,0.73288502,0.76141979,0.88186,,
,,,,,
PriceFeatures,0.714019614,0.75962602,0.88014,,
,,,,,
All_30000numboost,0.683917845,0.75754503,0.88115,,
,,,,,
All_2000numboost,0.772015539,0.768820969,,,
new price features,0.774514709,0.768082146,,,
TargetEWMFeatures,0.77348559,0.76552805,,,
FirstLastSale TargetEWM,0.780491,0.773268,,,
,,,,,
FirstLastSales_TargetEWMFeatures_lag1,0.777496268,0.771883236,0.89089,,
,,,,,
FirstLastSales_TargetEWMFeatures_lag1_10000,0.722483779,0.764684632,0.88727,,
,,,,,
2000,0.778701572,0.77215002,,,
2000_deleted 5 features,0.778974033,0.770685959,0.89193,,
,,,,,
price aggregates lags_2000,0.772527397,0.768627926,0.88687,,
,,,,,
TargetEWM instead of lags,0.771433342,0.764734718,0.88652,,
,,,,,
RUB to USD added,0.77054957,0.766439936,0.88764,,
,,,,,
repeat,0.771433342,0.764734718,,,
1000,0.716330349,0.754125683,0.88194,,
,,,,,
FirstLastSales yeardrop,0.718351082,0.764861875,0.88273,,
,,,,,
088186 10000iter,0.713926099,0.758781276,0.88206,,
,,,,,
last features drop 10000iter,0.714685761,0.75911577,0.88289,,
,,,,,
088186 10000iter,0.713926099,0.758781276,,,
1000 iter,0.909956135,0.867370247,,,
new features,0.773589324,0.772573648,,,
no delta price,0.773496461,0.774086008,,,
new features,0.773589324,0.772573648,,,
RUB to USD added,0.773365902,0.77068496,,,
no mean encoded features,0.784708766,0.780160352,,,
new_mean_encodings,0.784679686,0.780238538,,,
no mean encoded features,0.815913337,0.787817663,,,
new_mean_encodings,0.776748681,0.77562663,0.88734,,
no mean encoded features,0.784708766,0.780160352,,,
more_new_mean_encodings,0.745181798,0.767828389,0.93,,
,,,,,
no_item-city,0.761597438,0.780195566,0.91286,0.93252,rounded
,,,,,
clip 0_30,0.863848088,0.87727841,0.93545,,
,,,,,
clip 0_22,0.78277995,0.801128263,0.91677,,
,,,,,
no_item_city,0.761597438,0.780195566,,,
no_item_city,0.783337762,0.786174474,,,
no_item_city,1.196768102,1.056362961,,,
no_item_city,0.783337762,0.786174474,,,
no_item_city_1000_feval,1.171884611,1.034773633,,,
no_item_city_1000_feval,1.171884611,1.034773633,,,
no_item_city_1000_feval,0.783337762,0.786174474,,,
no_item_city_2000_feval,3.093915353,2.371468226,,,
no_item_city_1000_feval,3.093915353,2.371468226,,,
